9,安庆市城市建设投资发展（集团）有限公司,法人股东,内资企业法人,9134080074676498X1,,91340100MA2MU03T00
10,淮南市产业发展（集团）有限公司,法人股东,内资企业法人,91340400688131446H,,91340100MA2MU03T00
11,淮北市国有资产运营有限公司,法人股东,内资企业法人,340600000014066,,91340100MA2MU03T00
12,铜陵发展投资集团有限公司,法人股东,内资企业法人,913407006808442225,,91340100MA2MU03T00
13,六安城市建设投资有限公司,法人股东,内资企业法人,91341500704998745Q,,91340100MA2MU03T00
14,池州城市经营投资有限公司,法人股东,内资企业法人,341700000010370,,91340100MA2MU03T00
15,宣城市国有资产投资有限公司,法人股东,内资企业法人,913418007489233823,,91340100MA2MU03T00
16,安徽安诚金融控股集团有限公司,法人股东,内资企业法人,913416003970477111,,91340100MA2MU03T00
17,阜阳市城市建设投资有限公司,法人股东,内资企业法人,341200000001575,,91340100MA2MU03T00
18,宿州市中小企业融资担保有限公司,法人股东,内资企业法人,91341300683613569N,,91340100MA2MU03T00
19,滁州市信用担保有限公司,法人股东,内资企业法人,91341100683613956Q,,91340100MA2MU03T00
20,蚌埠投资集团有限公司,法人股东,内资企业法人,913403007139416361,,91340100MA2MU03T00
21,黄山市融资担保有限公司,法人股东,内资企业法人,341000000002866,,91340100MA2MU03T00
