,begin_date,invest_money,investor,name,pess_date,place,reg_oran,reg_state,run_end_data,run_from_date,scope,social_ucode,type
0,2015年05月25日,120.000000万,何革命,null,2017年05月11日,安徽省安庆市大观区蔡山路117号,安庆市工商行政和质量技术监督管理局,存续（在营、开业、在册）,,2015年05月25日,10万吨／年20%氨水复配生产工艺系统（生产、销售）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,91340800343812860W,其他有限责任公司
1,2017年01月03日,null,程帮武,安庆市开发区华邦百货商行,2017年01月03日,安庆市光彩大市场D2-10号,安庆市经济技术开发区市场监督管理局同安市场监督管理所,存续（在营、开业、在册）,null,null,预包装食品、百货批发零售（依法须经批准的项目，经相关部门批准后方可开展经营活动）,92340800MA2NA9T133,个体工商户
0,2015年05月25日,120.000000万,何革命,null,2017年05月11日,安徽省安庆市大观区蔡山路117号,安庆市工商行政和质量技术监督管理局,存续（在营、开业、在册）,,2015年05月25日,10万吨／年20%氨水复配生产工艺系统（生产、销售）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,91340800343812860W,其他有限责任公司
1,2017年01月03日,null,程帮武,安庆市开发区华邦百货商行,2017年01月03日,安庆市光彩大市场D2-10号,安庆市经济技术开发区市场监督管理局同安市场监督管理所,存续（在营、开业、在册）,null,null,预包装食品、百货批发零售（依法须经批准的项目，经相关部门批准后方可开展经营活动）,92340800MA2NA9T133,个体工商户
0,2015年05月25日,120.000000万,何革命,null,2017年05月11日,安徽省安庆市大观区蔡山路117号,安庆市工商行政和质量技术监督管理局,存续（在营、开业、在册）,,2015年05月25日,10万吨／年20%氨水复配生产工艺系统（生产、销售）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,91340800343812860W,其他有限责任公司
1,2017年01月03日,null,程帮武,安庆市开发区华邦百货商行,2017年01月03日,安庆市光彩大市场D2-10号,安庆市经济技术开发区市场监督管理局同安市场监督管理所,存续（在营、开业、在册）,null,null,预包装食品、百货批发零售（依法须经批准的项目，经相关部门批准后方可开展经营活动）,92340800MA2NA9T133,个体工商户
